,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
0,2018.06.25,Boating,usa,California,"Oceanside, San Diego County",White Shark,25-Jun-2018,Jun,N,F,usa,2018.0,57.0
1,2018.06.03.a,Unprovoked,brazil,Pernambuco,"Piedade Beach, Recife",Tiger Shark,03-Jun-2018,Jun,Y,M,brazil,2018.0,18.0
2,2018.05.26.b,Unprovoked,usa,Florida,"Cocoa Beach, Brevard  County",Bull Shark,26-May-2018,May,N,M,usa,2018.0,15.0
3,2018.05.24,Provoked,australia,Queensland,Cairns Aquarium,Grey Shark,24-May-2018,May,N,M,australia,2018.0,32.0
4,2018.05.13.a,Invalid,england,Cornwall,Off Land's End,Unspecified,13-May-2018,May,N,M,england,2018.0,21.0
5,2018.04.28.b,Unprovoked,costa rica,Cocos Island,Manuelita,Tiger Shark,28-Apr-2018,Apr,N,M,costa rica,2018.0,30.0
6,2018.04.25.a,Unprovoked,australia,Western Australia,"Surfers Point, Prevelly",Unspecified,25-Apr-2018,Apr,N,M,australia,2018.0,60.0
7,2018.04.23,Unprovoked,maldives,Alifu Alifu Atoll,Madoogali,Tiger Shark,23-Apr-2018,Apr,N,M,maldives,2018.0,32.0
8,2018.04.22,Unprovoked,south africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",White Shark,22-Apr-2018,Apr,N,M,south africa,2018.0,33.0
9,2018.04.03,Unprovoked,south africa,Eastern Cape Province,St. Francis Bay,White Shark,03-Apr-2018,Apr,N,M,south africa,2018.0,19.0
10,2018.03.31,Unprovoked,usa,Hawaii,Kukio Beach,Tiger Shark,31-Mar-2018,Mar,N,M,usa,2018.0,25.0
11,2018.03.14,Unprovoked,australia,Western Australia,Waterman's Bay,Unspecified,14-Mar-2018,Mar,N,M,australia,2018.0,10.0
12,2018.03.09.b,Unprovoked,australia,Victoria,Lorne,Unspecified,9-Mar-2018,Mar,N,M,australia,2018.0,25.0
13,2018.03.09.a,Unprovoked,australia,Victoria,Winkipop,Unspecified,9-Mar-2018,Mar,N,M,australia,2018.0,18.0
14,2018.02.23,Unprovoked,australia,New South Wales,"Little Congwong Beach, La Perouse ",White Shark,23-Feb-2018,Feb,N,F,australia,2018.0,55.0
15,2018.02.15,Unprovoked,australia,New South Wales,"Surf Beach, Kiama",Bull Shark,15-Feb-2018,Feb,N,M,australia,2018.0,35.0
16,2018.01.12,Unprovoked,brazil,Fernando de Noronha,Conceicao Beach,Unspecified,12-Jan-2018,Jan,N,M,brazil,2018.0,20.0
17,2017.12.31,Unprovoked,usa,Hawaii,"Hultin's Beach, Oahu",Tiger Shark,31-Dec-2017,Dec,N,F,usa,2017.0,54.0
18,2017.11.24,Unprovoked,usa,California,"Stillwater Cove, Monterey County",White Shark,24-Nov-2017,Nov,N,M,usa,2017.0,25.0
19,2017.11.13,Unprovoked,australia,New South Wales,Avoca Beach,Unspecified,13-Nov-2017,Nov,N,M,australia,2017.0,25.0
20,2017.11.04,Unprovoked,cuba,Holquin Province,Guardalavaca Beach,Tiger Shark,04-Nov-2017,Nov,Y,M,cuba,2017.0,22.0
21,2017.10.28,Unprovoked,australia,New South Wales,Birubi Point,Unspecified,28-Oct-2017,Oct,N,M,australia,2017.0,31.0
22,2017.10.22,Unprovoked,australia,South Australia,Normanville,White Shark,22-Oct-2017,Oct,N,F,australia,2017.0,15.0
23,2017.10.09,Unprovoked,usa,Hawaii,"Davidsons Beach, Kekaha, Kauai",Tiger Shark,09-Oct-2017,Oct,N,M,usa,2017.0,54.0
24,2017.10.05,Unprovoked,usa,Hawaii,"Kamaole Beach Park, Maui ",Unspecified,05-Oct-2017,Oct,N,F,usa,2017.0,40.0
25,2017.09.24.b,Invalid,usa,New York,Rockaway,Unspecified,24-Sep-2017,Sep,Unknown,M,usa,2017.0,33.0
26,2017.09.13,Unprovoked,usa,Florida,"Ponce Inlet, Volusia County",Unspecified,13-Sep-2017,Sep,N,M,usa,2017.0,18.0
27,2017.09.10.a,Unprovoked,australia,New South Wales,Iluka Beach,White Shark,10-Sep-2017,Sep,N,M,australia,2017.0,35.0
28,2017.08.29,Unprovoked,australia,Victoria,Cathedral Rock,White Shark,29-Aug-2017,Aug,N,M,australia,2017.0,37.0
29,2017.08.26.b,Invalid,spain,Castellón,Grao de Moncofa,Unspecified,26-Aug-2017,Aug,Unknown,F,spain,2017.0,11.0
30,2017.08.23,Unprovoked,usa,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",White Shark,23-Aug-2017,Aug,N,M,usa,2017.0,25.0
31,2017.08.10,Unprovoked,usa,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Unspecified,10-Aug-2017,Aug,N,M,usa,2017.0,13.0
32,2017.08.03,Provoked,usa,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Unspecified,03-Aug-2017,Aug,N,M,usa,2017.0,34.0
33,2017.07.29.c,Invalid,usa,South Carolina,"Hilton Head Island, Beaufort County",Unspecified,29-Jul-2017,Jul,Unknown,M,usa,2017.0,10.0
34,2017.07.20.b,Boating,usa,California,"Stearns Wharf, Santa Barbara",White Shark,20-Jul-2017,Jul,N,M,usa,2017.0,40.0
35,2017.07.20.a,Unprovoked,usa,California,"Seal Rock, Goleta Beach, Santa Barbara",White Shark,20-Jul-2017,Jul,N,M,usa,2017.0,50.0
36,2017.07.09,Unprovoked,usa,Florida,"Haulover Beach, Miami-Dade County",Bull Shark,09-Jul-2017,Jul,N,M,usa,2017.0,46.0
37,2017.07.07,Unprovoked,south africa,Eastern Cape Province,"Nahoon Reef, East London",White Shark,07-Jul-2017,Jul,N,F,south africa,2017.0,13.0
38,2017.06.11,Unprovoked,australia,Western Australia,"Point Casuarina, Bunbury",White Shark,11-Jun-2017,Jun,N,M,australia,2017.0,48.0
39,2017.06.02,Unprovoked,bahamas,New Providence ,Athol Island,Tiger Shark,02-Jun-2017,Jun,N,F,bahamas,2017.0,32.0
40,2017.05.03,Invalid,usa,California,"Sunset Beach, Orange County",Unspecified,03-May-2017,May,Unknown,F,usa,2017.0,18.0
41,2017.04.17.a,Unprovoked,australia,Western Australia,Kelpies near Wylie Bay,White Shark,17-Apr-2017,Apr,Y,F,australia,2017.0,17.0
42,2017.04.14,Unprovoked,usa,Hawaii,"Kekaha Beach, Kauai",Tiger Shark,14-Apr-2017,Apr,N,M,usa,2017.0,28.0
43,2017.04.02.a,Unprovoked,usa,Florida,"Destin, Okaloosa County",Bull Shark,02-Apr-2017,Apr,N,F,usa,2017.0,17.0
44,2017.01.21,Unprovoked,australia,Queensland,"Boot Reef, Torres Strait",Bull Shark,21-Jan-2017,Jan,N,M,australia,2017.0,55.0
45,2017.01.09,Unprovoked,indonesia,Bali,Balian Beach,Bull Shark,09-Jan-2017,Jan,N,M,indonesia,2017.0,48.0
46,2017.01.03,Invalid,australia,New South Wales,Merimbula,Unspecified,03-Jan-2017,Jan,Unknown,M,australia,2017.0,20.0
47,2016.12.19,Unprovoked,south africa,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",White Shark,19-Dec-2016,Dec,N,M,south africa,2016.0,55.0
48,2016.12.11.a,Invalid,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,11-Dec-2016,Dec,Unknown,M,usa,2016.0,19.0
49,2016.12.06,Provoked,australia,New South Wales,Merimbula,Unspecified,06-Dec-2016,Dec,N,M,australia,2016.0,20.0
50,2016.12.01,Unprovoked,australia,New South Wales,Booti Booti National Park,White Shark,01-Dec-2016,Dec,N,M,australia,2016.0,65.0
51,2016.11.28,Provoked,australia,Victoria,Queenscliff,Unspecified,28-Nov-2016,Nov,N,M,australia,2016.0,25.0
52,2016.11.14,Unprovoked,usa,Hawaii,"Kamaole Beach Park I, Maui",Tiger Shark,14-Nov-2016,Nov,N,F,usa,2016.0,58.0
53,2016.10.21,Unprovoked,usa,Hawaii,"Hooipa Beach Park, Maui",Unspecified,21-Oct-2016,Oct,N,M,usa,2016.0,36.0
54,2016.09.26,Unprovoked,australia,New South Wales,"Lighthouse Beach, Ballina",White Shark,26-Sep-2016,Sep,N,M,australia,2016.0,17.0
55,2016.09.11,Unprovoked,usa,Florida,"Ponte Vedra, St. Johns County",Unspecified,11-Sep-2016,Sep,N,M,usa,2016.0,60.0
56,2016.09.07,Unprovoked,usa,Hawaii,"Makaha, Oahu",Tiger Shark,07-Sep-2016,Sep,N,F,usa,2016.0,51.0
57,2016.08.29.b,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Bull Shark,29-Aug-2016,Aug,N,M,usa,2016.0,25.0
58,2016.08.06,Unprovoked,usa,Hawaii,Maui,Tiger Shark,06-Aug-2016,Aug,N,M,usa,2016.0,21.0
59,2016.07.29,Unprovoked,spain,Alicante Province,Arenales del Sol,Unspecified,29-Jul-2016,Jul,N,M,spain,2016.0,40.0
60,2016.07.20,Provoked,australia,Queensland,"20 k off The Spit, off the Gold Coast",Unspecified,20-Jul-2016,Jul,N,M,australia,2016.0,31.0
61,2016.07.15.b,Unprovoked,usa,California,"Surfside, Orange County",White Shark,15-Jul-2016,Jul,N,M,usa,2016.0,61.0
62,2016.07.07.b,Provoked,usa,Massachusetts,"Off Gloucester, Essec County",Unspecified,07-Jul-2016,Jul,N,M,usa,2016.0,59.0
63,2016.07.04,Provoked,australia,Queensland,Palm Cove ,Unspecified,04-Jul-2016,Jul,N,M,australia,2016.0,34.0
64,2016.06.21.b,Unprovoked,usa,South Carolina,"North Myrtle Beach, Horry County",Unspecified,21-Jun-2016,Jun,N,M,usa,2016.0,42.0
65,2016.06.14,Unprovoked,usa,Texas,"Pirates Beach, Galveston",Unspecified,14-Jun-2016,Jun,N,F,usa,2016.0,6.0
66,2016.06.11,Unprovoked,usa,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Unspecified,11-Jun-2016,Jun,N,M,usa,2016.0,19.0
67,2016.06.07,Invalid,usa,South Carolina,"Folly Beach, Charleston County",Unspecified,07-Jun-2016,Jun,Unknown,M,usa,2016.0,27.0
68,2016.06.05.a,Unprovoked,australia,Western Australia,Mindarie,Unspecified,05-Jun-2016,Jun,Y,F,australia,2016.0,60.0
69,2016.06.04,Unprovoked,egypt,Suez,Ain Sokhna,Unspecified,04-Jun-2016,Jun,N,M,egypt,2016.0,23.0
70,2016.05.31,Unprovoked,australia,Western Australia,"Falcon Beach, Mandurah",White Shark,31-May-2016,May,Y,M,australia,2016.0,29.0
71,2016.05.29.a,Unprovoked,usa,Florida,"Neptune, Duval County",Unspecified,29-May-2016,May,N,M,usa,2016.0,13.0
72,2016.05.21.b,Unprovoked,usa,Florida,"St. Petersburg, Pinellas County",Bull Shark,21-May-2016,May,N,F,usa,2016.0,22.0
73,2016.05.18,Unprovoked,usa,Florida,"Ponte Vedra, St. Johns County",Unspecified,18-May-2016,May,N,M,usa,2016.0,48.0
74,2016.05.15,Provoked,usa,Florida,"Boca Raton, Palm Beach County",Unspecified,15-May-2016,May,N,F,usa,2016.0,23.0
75,2016.05.02,Provoked,new zealand,North Island,Cormandel,Unspecified,02-May-2016,May,N,M,new zealand,2016.0,39.0
76,2016.04.25,Unprovoked,indonesia,Bali,Balian,Bull Shark,25-Apr-2016,Apr,N,M,indonesia,2016.0,24.0
77,2016.04.19,Unprovoked,australia,New South Wales,"First Sun Beach, Byron Bay",Unspecified,19-Apr-2016,Apr,N,M,australia,2016.0,12.0
78,2016.04.18.b,Provoked,french polynesia,Tuamotos,Makemo Atoll,Grey Shark,18-Apr-2016,Apr,Unknown,M,french polynesia,2016.0,22.0
79,2016.04.18.a,Provoked,french polynesia,Tuamotos,Makemo Atoll,Grey Shark,18-Apr-2016,Apr,N,M,french polynesia,2016.0,26.0
80,2016.04.09,Unprovoked,new caledonia,Grand Terre,Poe Beach,Tiger Shark,09-Apr-2016,Apr,Y,F,new caledonia,2016.0,25.0
81,2016.01.23,Unprovoked,usa,Hawaii,"Wailea Beach, Maui",Tiger Shark,23-Jan-2016,Jan,N,M,usa,2016.0,48.0
82,2016.01.05,Unprovoked,australia,Queensland,Heron Island,Unspecified,05-Jan-2016,Jan,N,M,australia,2016.0,11.0
83,2016.01.02,Unprovoked,australia,Queensland,Miall Island,Unspecified,02-Jan-2016,Jan,N,M,australia,2016.0,31.0
84,2015.12.22,Unprovoked,usa,Hawaii,La'aloa Beach Park,Unspecified,22-Dec-2015,Dec,N,M,usa,2015.0,25.0
85,2015.12.21.b,Unprovoked,australia,New South Wales,Bondi Beach,Unspecified,21-Dec-2015,Dec,N,M,australia,2015.0,43.0
86,2015.11.20,Unprovoked,ecuador,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Unspecified,20-Nov-2015,Nov,N,M,ecuador,2015.0,55.0
87,2015.11.10,Unprovoked,australia,New South Wales,East Ballina,Bull Shark,10-Nov-2015,Nov,N,M,australia,2015.0,20.0
88,2015.12.23,Invalid,usa,Florida,"Paradise Beach, Melbourne, Brevard County",Unspecified,07-Nov-2015,Nov,Unknown,F,usa,2015.0,9.0
89,2015.11.01.b,Unprovoked,usa,Florida,"Cocoa Beach, Brevard  County",Unspecified,01-Nov-2015,Nov,N,F,usa,2015.0,28.0
90,2015.10.25,Unprovoked,south africa,Western Cape Province,Stil Bay,White Shark,25-Oct-2015,Oct,N,M,south africa,2015.0,42.0
91,2015.10.21,Unprovoked,usa,Florida,"Playalinda Beach, Brevard County",Unspecified,21-Oct-2015,Oct,N,M,usa,2015.0,21.0
92,2015.10.19,Unprovoked,usa,Florida,"Deerfield Beach, Broward County",Unspecified,19-Oct-2015,Oct,N,M,usa,2015.0,21.0
93,2015.10.17.b,Invalid,usa,Hawaii,"Waikiki, ",Unspecified,17-Oct-2015,Oct,Unknown,M,usa,2015.0,32.0
94,2015.10.17.a,Unprovoked,usa,Hawaii,"Lanikai Beach, Kailua, Oahu",Tiger Shark,17-Oct-2015,Oct,N,M,usa,2015.0,44.0
95,2015.10.09.a,Unprovoked,usa,Hawaii,"Leftovers, Oahu",Tiger Shark,09-Oct-2015,Oct,N,M,usa,2015.0,25.0
96,2015.10.05.a,Unprovoked,usa,Texas,Galveston,Unspecified,05-Oct-2015,Oct,N,M,usa,2015.0,13.0
97,2015.10.04,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,04-Oct-2015,Oct,N,M,usa,2015.0,14.0
98,2015.09.29,Unprovoked,usa,Florida,"Vilano Beach, St.  Johns County",Unspecified,29-Sep-2015,Sep,N,M,usa,2015.0,22.0
99,2015.09.20.d,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,20-Sep-2015,Sep,N,M,usa,2015.0,14.0
100,2015.09.20.c,Unprovoked,usa,Hawaii,"Upolu Point, North Kohala, Big Island",Tiger Shark,20-Sep-2015,Sep,N,M,usa,2015.0,27.0
101,2015.09.20.b,Unprovoked,usa,Florida,"Fernandina Beach, Amelia Island, Nassau County",Unspecified,20-Sep-2015,Sep,N,M,usa,2015.0,12.0
102,2015.09.08,Unprovoked,australia,New South Wales,North Shelly Beach,Unspecified,08-Sep-2015,Sep,N,M,australia,2015.0,42.0
103,2015.09.06,Unprovoked,usa,California,"El Pescador Beach, Los Angeles County",White Shark,06-Sep-2015,Sep,N,F,usa,2015.0,50.0
104,2015.09.05,Provoked,usa,California,"Deer Creek Beach, Ventura County",Unspecified,05-Sep-2015,Sep,N,M,usa,2015.0,29.0
105,2015.09.04,Unprovoked,australia,New South Wales,Hallidays Point,White Shark,04-Sep-2015,Sep,N,M,australia,2015.0,62.0
106,2015.09.01,Unprovoked,thailand,Phuket,Karon Beach,Unspecified,01-Sep-2015,Sep,N,F,thailand,2015.0,37.0
107,2015.08.29.b,Unprovoked,usa,California,"Morro Strand State Beach, San Luis Obispo County",White Shark,29-Aug-2015,Aug,N,F,usa,2015.0,54.0
108,2015.08.29.a,Unprovoked,usa,California,"Morro Bay, San Luis Obispo County",White Shark,29-Aug-2015,Aug,N,M,usa,2015.0,21.0
109,2015.08.20,Unprovoked,usa,South Carolina,"Murrells Inlet, Georgetown County",Unspecified,20-Aug-2015,Aug,N,M,usa,2015.0,15.0
110,2015.08.19,Unprovoked,usa,Florida,"Jacksonville Beach, Duval County",Unspecified,19-Aug-2015,Aug,N,F,usa,2015.0,10.0
111,2015.08.18.b,Boating,usa,California,Santa Barbara County,White Shark,18-Aug-2015,Aug,N,M,usa,2015.0,22.0
112,2015.08.18.a,Invalid,spain,Alicante,"Poniente Beach, Benidorm",Unspecified,18-Aug-2015,Aug,Unknown,M,spain,2015.0,10.0
113,2015.08.10,Provoked,usa,California,Cortes Bank,Unspecified,10-Aug-2015,Aug,N,M,usa,2015.0,57.0
114,2015.07.31,Unprovoked,australia,New South Wales,Evans Head,White Shark,31-Jul-2015,Jul,N,M,australia,2015.0,52.0
115,2015.07.26.b,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",Unspecified,26-Jul-2015,Jul,N,M,usa,2015.0,25.0
116,2015.07.26.a,Invalid,usa,South Carolina,"Edisto Beach, Colleton County",Unspecified,26-Jul-2015,Jul,Unknown,F,usa,2015.0,35.0
117,2015.07.25,Unprovoked,australia,Tasmania,"Lachan Island, Mercury Passage",White Shark,25-Jul-2015,Jul,Y,M,australia,2015.0,46.0
118,2015.07-10,Unprovoked,usa,California,"Huntington Beach, Orange County",White Shark,10-Jul-2015,Jul,N,M,usa,2015.0,38.0
119,2015.07.03,Unprovoked,australia,New South Wales,Lennox Head,White Shark,03-Jul-2015,Jul,N,M,australia,2015.0,52.0
120,2015.07.02,Unprovoked,australia,New South Wales,East Ballina,White Shark,02-Jul-2015,Jul,N,M,australia,2015.0,32.0
121,2015.07.01,Unprovoked,usa,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Unspecified,01-Jul-2015,Jul,N,M,usa,2015.0,25.0
122,2015.06.30.a,Unprovoked,usa,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Unspecified,30-Jun-2015,Jun,N,M,usa,2015.0,12.0
123,2015.06.27.b,Unprovoked,usa,North Carolina,"Rodanthe, Dare County",Bull Shark,27-Jun-2015,Jun,N,M,usa,2015.0,18.0
124,2015.06.27.a,Unprovoked,south africa,Western Cape Province,Buffels Bay near Knysna,White Shark,27-Jun-2015,Jun,N,M,south africa,2015.0,19.0
125,2015.06.26.b,Unprovoked,south africa,Western Cape Province,"Lookout Beach, Plettenberg Bay",White Shark,26-Jun-2015,Jun,N,M,south africa,2015.0,23.0
126,2015.06.26.a,Unprovoked,usa,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Unspecified,26-Jun-2015,Jun,N,M,usa,2015.0,43.0
127,2015.06.24.b,Unprovoked,usa,North Carolina,Surf City,Tiger Shark,24-Jun-2015,Jun,N,M,usa,2015.0,6.0
128,2015.06.24.a,Invalid,australia,Western Australia,Denmark,White Shark,24-Jun-2015,Jun,N,F,australia,2015.0,37.0
129,2015.06.14.b,Unprovoked,usa,North Carolina,"Oak Island, Brunswick County",Bull Shark,14-Jun-2015,Jun,N,M,usa,2015.0,16.0
130,2015.06.14.a,Unprovoked,usa,North Carolina,"Oak Island, Brunswick County",Bull Shark,14-Jun-2015,Jun,N,F,usa,2015.0,12.0
131,2015.06.11,Unprovoked,usa,North Carolina,"Ocean Isle, Brunswick County",Unspecified,11-Jun-2015,Jun,N,F,usa,2015.0,13.0
132,2015.06.07,Unprovoked,usa,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Bull Shark,07-Jun-2015,Jun,N,M,usa,2015.0,11.0
133,2015.06.01,Unprovoked,reunion,Le Port,Folette,Bull Shark,01-Jun-2015,Jun,N,M,reunion,2015.0,47.0
134,2015.05.25,Unprovoked,french polynesia,Rangiroa,Avatoru Pass,Unspecified,25-May-2015,May,N,M,french polynesia,2015.0,19.0
135,2015.05.20,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,20-May2015,,N,M,usa,2015.0,18.0
136,2015.05.02,Unprovoked,south africa,Eastern Cape Province,Port St. John's,White Shark,02-May-2015,May,N,M,south africa,2015.0,29.0
137,2015.04.26,Unprovoked,usa,Florida,"Resident's Beach, Marco Island",Unspecified,26-Apr-2015,Apr,N,M,usa,2015.0,63.0
138,2015.04.25,Unprovoked,australia,South Australia,Fishery Bay,White Shark,25-Apr-2015,Apr,N,M,australia,2015.0,26.0
139,2015.04.24.c,Unprovoked,australia,New South Wales,"Belongil Beach, Byron Bay",White Shark,24-Jun-2015,Jun,N,M,australia,2015.0,25.0
140,2015.04.12,Unprovoked,reunion,Saint-Gilles-les-Bains,Cap Homard,Bull Shark,12-Apr-2015,Apr,Y,M,reunion,2015.0,13.0
141,2015.04.03,Unprovoked,usa,Florida,"3 miles off Jupiter, Palm Beach County",Bull Shark,03-Apr-2015,Apr,N,M,usa,2015.0,25.0
142,2015.03.31,Invalid,brazil,Pernambuco,"Praia del Chifre, Olinda",Unspecified,31-Mar-2015,Mar,Unknown,M,brazil,2015.0,23.0
143,2015.03.18,Unprovoked,usa,Hawaii,Hapuna Beach,Tiger Shark,18-Mar-2015,Mar,N,M,usa,2015.0,58.0
144,2015.03.16,Unprovoked,french polynesia,Bora Bora,Anau,Unspecified,16-Mar-2015,Mar,N,M,french polynesia,2015.0,9.0
145,2015.02.14,Unprovoked,reunion,dÉtang-Salé,Ravine Mula,Tiger Shark,14-Feb-2015,Feb,Y,F,reunion,2015.0,22.0
146,2015.02.09,Unprovoked,australia,New South Wales,Shelly Beach,Unspecified,09-Feb-2015,Feb,Y,M,australia,2015.0,41.0
147,2015.02.08,Unprovoked,australia,New South Wales,"Seven Mile Beach, Byron Bay",Unspecified,08-Feb-2015,Feb,N,M,australia,2015.0,35.0
148,2015.01.30,Boating,australia,Queensland,"Nerang River, Surfer's  Paradise",Bull Shark,30-Jan-2015,Jan,N,M,australia,2015.0,57.0
149,2015.01.27,Provoked,usa,Hawaii,Lahaina,Unspecified,27-Jan-2015,Jan,N,M,usa,2015.0,20.0
150,2015.01.06,Unprovoked,bahamas,Abaco Islands,"Tahiti Beach, Elbow Cay",White Shark,06-Jan-2015,Jan,N,F,bahamas,2015.0,34.0
151,2015.01.03,Unprovoked,south africa,Eastern Cape Province,Chintsa East Beach,Unspecified,03-Jan-2015,Jan,N,M,south africa,2015.0,15.0
152,2014.12.29.a,Unprovoked,australia,Western Australia,Three Stripes near Cheynes Beach,White Shark,29-Dec-2014,Dec,Y,M,australia,2014.0,17.0
153,2014.12.28.b,Unprovoked,usa,California,"Montaña de Oro State Park, San Luis Obispo County ",White Shark,28-Dec-2014,Dec,N,M,usa,2014.0,50.0
154,2014.12.28.a,Provoked,australia,Victoria,Paradise Beach,Unspecified,28-Dec-2014,Dec,N,M,australia,2014.0,40.0
155,2014.12.15,Unprovoked,australia,Queensland,Rudder Reef,Tiger Shark,15-Dec-2014,Dec,Y,M,australia,2014.0,17.0
156,2014.11.16,Unprovoked,usa,Florida,"Indian Harbor Beach, Brevard County",Unspecified,16-Nov-2014,Nov,N,M,usa,2014.0,44.0
157,2014.11.13,Unprovoked,usa,Hawaii,"Airplane Beach, Lahina, West Maui",Unspecified,13-Nov-2014,Nov,N,M,usa,2014.0,53.0
158,2014.10.31,Unprovoked,usa,Hawaii,"North Kohala, Hawaii County",Tiger Shark,31-Oct-2014,Oct,N,F,usa,2014.0,34.0
159,2014.10.17,Unprovoked,australia,New South Wales,Avoca Beach,Unspecified,17-Oct-2014,Oct,N,F,australia,2014.0,13.0
160,2014.10.05.b,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,05-Oct-2014,Oct,N,M,usa,2014.0,29.0
161,2014.10.05.a,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,05-Oct-2014,Oct,N,M,usa,2014.0,15.0
162,2014.10.02.b,Unprovoked,usa,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Unspecified,02-Oct-2014,Oct,N,M,usa,2014.0,28.0
163,2014.10.02.a,Unprovoked,australia,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",White Shark,02-Oct-2014,Oct,N,M,australia,2014.0,23.0
164,2014.09.09,Unprovoked,australia,New South Wales,"Clarkes Beach, Byron Bay",Unspecified,09-Sep-2014,Sep,Y,M,australia,2014.0,50.0
165,2014.09.06,Unprovoked,usa,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Bull Shark,06-Sep-2014,Sep,N,M,usa,2014.0,43.0
166,2014.09.03,Boating,usa,Massachusetts,"Manomet Point, Plymouth, Plymouth County",White Shark,03-Sep-2014,Sep,N,F,usa,2014.0,20.0
167,2014.09.02,Provoked,usa,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Unspecified,02-Sep-2014,Sep,N,M,usa,2014.0,52.0
168,2014.08.31,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,31-Aug-2014,Aug,N,F,usa,2014.0,13.0
169,2014.08.08,Unprovoked,usa,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Bull Shark,08-Aug-2014,Aug,N,M,usa,2014.0,7.0
170,2014.08.06,Unprovoked,usa,South Carolina,"Folly Beach, Charleston County",Unspecified,06-Aug-2014,Aug,N,M,usa,2014.0,10.0
171,2014.08.01,Unprovoked,south africa,Western Cape Province,Muizenberg,White Shark,Unknown,,Unknown,M,south africa,2014.0,20.0
172,2014.07.16,Unprovoked,usa,Hawaii,"Paia Bay, Maui",Unspecified,Unknown,,Unknown,M,usa,2014.0,61.0
173,2014.07.14,Unprovoked,usa,Florida,Okaloosa Island,Unspecified,Unknown,,Unknown,M,usa,2014.0,39.0
174,2014.07.13,Invalid,bahamas,West End,Tiger Beach,Unspecified,Unknown,,Unknown,M,bahamas,2014.0,63.0
175,2014.07.03,Unprovoked,usa,South Carolina,"Isle of Palms, Charleston County",Unspecified,Unknown,,Unknown,M,usa,2014.0,19.0
176,2014.06.09.b,Unprovoked,usa,Delaware,"Cape Henlopen State Park, Sussex County",Unspecified,Unknown,,Unknown,M,usa,2014.0,16.0
177,2014.06.09.a,Unprovoked,australia,South Australia,"Parsons Beach,  Fleurieu Peninsula",Unspecified,Unknown,,Unknown,M,australia,2014.0,39.0
178,2014.06.01.c,Unprovoked,usa,Florida,Fort Lauderdale,Bull Shark,Unknown,,Unknown,F,usa,2014.0,22.0
179,2014.05.14,Unprovoked,australia,South Australia,"Elliston, Eyre Peninsula",White Shark,Unknown,,Unknown,M,australia,2014.0,35.0
180,2014.05.06,Unprovoked,usa,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Unspecified,Unknown,,Unknown,F,usa,2014.0,40.0
181,2014.05.01,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,2014.0,23.0
182,2014.04.03,Unprovoked,australia,New South Wales,Tathra,White Shark,Unknown,,Unknown,F,australia,2014.0,63.0
183,2014.03.29,Invalid,australia,Western Australia,Off Dawesville Cut,Unspecified,Unknown,,Unknown,M,australia,2014.0,38.0
184,2014.03.22.b,Unprovoked,south africa,Eastern Cape Province,"Second Beach, Port St Johns",Unspecified,Unknown,,Unknown,M,south africa,2014.0,25.0
185,2014.02.20,Unprovoked,french polynesia,Society Islands,Huahine,Unspecified,Unknown,,Unknown,M,french polynesia,2014.0,21.0
186,2014.02.07,Unprovoked,new zealand,South Island,Porpoise Bay,Unspecified,Unknown,,Unknown,M,new zealand,2014.0,28.0
187,2013.12.25,Unprovoked,new caledonia,North Province,"Lindéralique, Hienghène",Bull Shark,Unknown,,Unknown,M,new caledonia,2013.0,37.0
188,2013.12.16,Unprovoked,south africa,Western Cape Province,Die Platt,White Shark,Unknown,,Unknown,M,south africa,2013.0,19.0
